Site,X2 Legacy,X2 Legacy,X2 Legacy,X2 Legacy,X2 Legacy,X2 Legacy,X2 Legacy,X2 Legacy,X2 Legacy,X2 Legacy,X2 Legacy,X2 Legacy,X2 Legacy,X2 Legacy,X2 Legacy,X2 Legacy,X2 Legacy,X2 Legacy,X2 Legacy,X2 Legacy,X2 Legacy,X2 Legacy
Time UTC UTC+00:00,Processor Power,RTC Power,Primary Power,Secondary Power,Sensor Power,Total System Current,Sensor Current,Internal Pressure,Internal Temperature,Internal Humidity,Signal Strength,Signal Status,EXO Temp,EXO Sp Cond,EXO pH,EXO ODOSat,EXO ODO,EXO Wiper Pos,EXO Cable Pwr,[2] CTD Temp,[2] CTD Level,[2] CTD Sp Cond
,V,V,V,V,V,mA,mA,mBar,C,%,dB,,C,uS/cm,,%,mg/L,V,V,C,mm,uS/cm
07-01-2022 0:00:00,3.35,3.02,12.38,0.06,12,99.32,69.09,,23.315,28.42,0,0,13.152,293.3,7.9,71.84,7.54,1.2,11.18,13.21,464.9,280
07-01-2022 0:05:00,3.35,3.02,12.35,0.03,11.99,97.46,67.92,,23.355,28.42,0,0,13.151,293.3,7.9,71.82,7.54,1.21,11.19,13.21,462.8,280
07-01-2022 0:10:00,3.35,3.02,12.38,0.07,11.99,99.46,69.34,,23.355,28.42,0,0,13.152,293.3,7.9,71.84,7.54,1.21,11.19,13.21,461.4,280
07-01-2022 0:15:00,3.35,3.02,12.39,0.09,11.98,99.9,70.8,,23.365,28.42,0,0,13.152,293.3,7.9,71.84,7.54,1.2,11.18,13.21,461.5,280
07-01-2022 0:20:00,3.35,3.02,12.39,0.06,12,98.97,70.31,,23.396,28.42,0,0,13.151,293.3,7.9,71.83,7.54,1.2,11.18,13.21,461.9,280
07-01-2022 0:25:00,3.35,3.02,12.4,0.06,12.01,98.73,69.38,,23.426,28.41,0,0,13.151,293.3,7.9,71.83,7.54,1.21,11.18,13.21,462.1,280
07-01-2022 0:30:00,3.35,3.02,12.39,0.08,11.99,99.02,70.31,,23.436,28.41,0,0,13.152,293.3,7.9,71.84,7.54,1.21,11.19,13.21,462.9,280
07-01-2022 0:35:00,3.35,3.02,12.37,0.07,12,96.24,67.33,,23.406,28.41,0,0,13.152,293.4,7.9,71.83,7.54,1.21,11.18,13.21,462.5,280
07-01-2022 0:40:00,3.35,3.02,12.39,0.05,11.98,96.34,69.38,,23.386,28.42,0,0,13.151,293.3,7.9,71.84,7.54,1.21,11.18,13.21,462.3,280
07-01-2022 0:45:00,3.35,3.02,12.37,0.08,12,96.48,69.92,,23.386,28.42,0,0,13.152,293.3,7.9,71.84,7.54,1.2,11.18,13.21,463.5,280
07-01-2022 0:50:00,3.35,3.02,12.4,0.07,11.99,98.39,69.63,,23.396,28.42,0,0,13.152,293.3,7.9,71.83,7.54,1.2,11.19,13.21,462.3,280
07-01-2022 0:55:00,3.35,3.02,12.37,0.06,11.99,97.75,73.24,,23.396,28.42,0,0,13.152,293.3,7.9,71.82,7.54,1.2,11.19,13.21,462.5,280
07-01-2022 1:00:00,3.35,3.02,12.4,0.07,11.99,99.32,69.53,,23.426,28.41,0,0,13.151,293.2,7.9,71.83,7.54,1.21,11.18,13.21,461.9,280
07-01-2022 1:05:00,3.35,3.02,12.39,0.07,12,98.54,69.97,,23.456,28.41,0,0,13.151,293.3,7.9,71.84,7.54,1.21,11.19,13.21,461.3,280
07-01-2022 1:10:00,3.35,3.02,12.39,0.07,12,94.87,66.99,,23.456,28.41,0,0,13.151,293.3,7.9,71.83,7.54,1.21,11.18,13.21,461.1,280
07-01-2022 1:15:00,3.35,3.02,12.36,0.09,11.98,98.68,70.26,,23.456,28.41,0,0,13.152,293.3,7.9,71.84,7.54,1.21,11.18,13.21,464.3,280
07-01-2022 1:20:00,3.35,3.02,12.36,0.09,11.99,97.9,69.53,,23.456,28.41,0,0,13.151,293.3,7.9,71.82,7.54,1.21,11.19,13.21,462.2,270
07-01-2022 1:25:00,3.35,3.02,12.37,0.09,12,97.51,69.29,,23.466,28.41,0,0,13.151,293.3,7.9,71.83,7.54,1.21,11.18,13.21,461.4,270
07-01-2022 1:30:00,3.35,3.02,12.38,0.06,12,95.8,70.12,,23.456,28.41,0,0,13.152,293.3,7.9,71.84,7.54,1.21,11.19,13.21,460.9,270
07-01-2022 1:35:00,3.35,3.02,12.37,0.08,11.99,99.32,69.38,,23.466,28.41,0,0,13.151,293.3,7.9,71.83,7.54,1.2,11.19,13.21,461.6,270
07-01-2022 1:40:00,3.35,3.02,12.39,0.07,11.96,98.34,69.38,,23.476,28.41,0,0,13.151,293.3,7.9,71.82,7.54,1.2,11.18,13.21,461.9,270
07-01-2022 1:45:00,3.35,3.03,12.38,0.06,11.99,100.24,69.29,,23.506,28.41,0,0,13.151,293.3,7.9,71.84,7.54,1.21,11.18,13.21,459.6,270
07-01-2022 1:50:00,3.35,3.02,12.35,0.06,11.99,98.88,72.66,,23.547,28.41,0,0,13.152,293.3,7.9,71.83,7.54,1.21,11.19,13.21,460.6,270
07-01-2022 1:55:00,3.35,3.02,12.38,0.08,11.99,101.61,68.7,,23.577,28.41,0,0,13.151,293.3,7.9,71.83,7.54,1.21,11.19,13.21,462,270
07-01-2022 2:00:00,3.35,3.02,12.4,0.07,11.98,94.92,70.65,,23.607,28.41,0,0,13.151,293.3,7.9,71.83,7.54,1.21,11.19,13.21,461.7,270
07-01-2022 2:05:00,3.35,3.02,12.38,0.09,11.99,97.22,72.02,,23.627,28.4,0,0,13.151,293.3,7.9,71.83,7.54,1.21,11.19,13.21,462.6,270
07-01-2022 2:10:00,3.35,3.02,12.37,0.08,12.01,97.85,70.65,,23.658,28.5,0,0,13.151,293.3,7.9,71.84,7.54,1.21,11.19,13.21,462.4,270
07-01-2022 2:15:00,3.35,3.02,12.37,0.07,11.98,97.95,73.24,,23.688,28.5,0,0,13.152,293.3,7.9,71.84,7.54,1.21,11.19,13.21,461.9,270
07-01-2022 2:20:00,3.35,3.02,12.37,0.08,11.99,96.83,68.95,,23.688,28.5,0,0,13.152,293.3,7.91,71.83,7.54,1.21,11.19,13.21,461.2,280
07-01-2022 2:25:00,3.35,3.02,12.42,0.1,12,96.09,68.16,,23.688,28.5,0,0,13.152,293.3,7.9,71.83,7.54,1.21,11.19,13.21,462.1,280
07-01-2022 2:30:00,3.35,3.02,12.38,0.06,12.01,97.17,68.51,,23.678,28.5,0,0,13.151,293.3,7.9,71.83,7.54,1.21,11.19,13.21,463.3,280
07-01-2022 2:35:00,3.35,3.02,12.4,0.09,11.99,97.07,69.53,,23.678,28.5,0,0,13.152,293.3,7.89,71.82,7.54,1.21,11.19,13.21,462.9,280
07-01-2022 2:40:00,3.35,3.02,12.41,0.07,12,97.61,71.34,,23.688,28.5,0,0,13.151,293.3,7.9,71.83,7.54,1.21,11.18,13.21,463.1,280
07-01-2022 2:45:00,3.35,3.02,12.39,0.1,11.99,99.37,69.24,,23.728,28.5,0,0,13.152,293.4,7.89,71.83,7.54,1.21,11.19,13.21,461.8,280
07-01-2022 2:50:00,3.35,3.02,12.41,0.06,11.98,95.07,73.63,,23.738,28.5,0,0,13.152,293.3,7.89,71.83,7.54,1.21,11.19,13.21,461.8,280
07-01-2022 2:55:00,3.35,3.02,12.39,0.07,12,116.46,87.99,,23.768,28.5,0,0,13.152,293.3,7.9,71.83,7.54,1.21,11.19,13.21,462.2,280
07-01-2022 3:00:00,3.35,3.02,12.38,0.1,12,101.27,69.63,,23.778,28.5,0,0,13.151,293.3,7.9,71.83,7.54,1.21,11.19,13.21,462.4,280
07-01-2022 3:05:00,3.35,3.02,12.4,0.07,12,97.95,70.02,,23.778,28.5,0,0,13.152,293.3,7.9,71.85,7.54,1.21,11.19,13.21,461.9,280
07-01-2022 3:10:00,3.35,3.02,12.34,0.08,11.97,98.34,69.38,,23.809,28.5,0,0,13.152,293.3,7.9,71.83,7.54,1.21,11.19,13.21,460.9,280
07-01-2022 3:15:00,3.35,3.02,12.39,0.07,11.99,99.27,69.68,,23.809,28.5,0,0,13.152,293.3,7.9,71.84,7.54,1.21,11.18,13.21,462.4,280
07-01-2022 3:20:00,3.35,3.02,12.38,0.08,11.98,97.27,71.29,,23.839,28.5,0,0,13.151,293.3,7.9,71.83,7.54,1.21,11.19,13.21,462.1,280
07-01-2022 3:25:00,3.35,3.02,12.37,0.09,11.99,98.88,70.17,,23.869,28.49,0,0,13.152,293.3,7.9,71.84,7.54,1.21,11.18,13.21,462.8,280
07-01-2022 3:30:00,3.35,3.02,12.38,0.08,12,96.97,70.12,,23.909,28.49,0,0,13.152,293.3,7.9,71.85,7.54,1.2,11.19,13.21,460.8,280
07-01-2022 3:35:00,3.35,3.02,12.36,0.06,11.99,99.32,69.14,,23.919,28.58,0,0,13.152,293.3,7.9,71.83,7.54,1.21,11.19,13.21,463.2,280
07-01-2022 3:40:00,3.35,3.02,12.37,0.09,11.97,100.05,71.73,,23.929,28.58,0,0,13.152,293.3,7.9,71.84,7.54,1.21,11.18,13.21,461.5,280
07-01-2022 3:45:00,3.35,3.02,12.38,0.06,11.98,98.44,70.21,,23.95,28.58,0,0,13.152,293.3,7.9,71.83,7.54,1.21,11.19,13.21,462.9,280
07-01-2022 3:50:00,3.35,3.02,12.39,0.09,11.97,97.27,67.77,,23.98,28.58,0,0,13.151,293.3,7.9,71.83,7.54,1.21,11.19,13.21,461.4,280
07-01-2022 3:55:00,3.35,3.02,12.39,0.05,11.99,97.66,67.48,,23.98,28.58,0,0,13.152,293.3,7.9,71.83,7.54,1.2,11.19,13.21,461.6,280
07-01-2022 4:00:00,3.35,3.02,12.37,0.06,11.99,93.26,70.9,,24.01,28.58,0,0,13.152,293.3,7.9,71.84,7.54,1.21,11.18,13.21,463.1,280
07-01-2022 4:05:00,3.35,3.02,12.4,0.1,12,99.32,75.93,,24.03,28.58,0,0,13.152,293.3,7.9,71.83,7.54,1.21,11.19,13.21,460.9,280
07-01-2022 4:10:00,3.35,3.02,12.39,0.06,12,100.24,70.65,,24.03,28.58,0,0,13.152,293.3,7.9,71.83,7.54,1.21,11.19,13.21,461.9,280
07-01-2022 4:15:00,3.35,3.02,12.39,0.06,11.99,99.8,71,,24.03,28.58,0,0,13.151,293.3,7.9,71.84,7.54,1.21,11.19,13.21,462,280
07-01-2022 4:20:00,3.35,3.02,12.39,0.08,11.97,96.88,69.78,,23.98,28.58,0,0,13.152,293.3,7.9,71.83,7.54,1.21,11.18,13.21,461.9,280
07-01-2022 4:25:00,3.35,3.02,12.42,0.1,11.98,105.32,74.02,,23.99,28.58,0,0,13.151,293.3,7.9,71.85,7.54,1.2,11.19,13.21,461.6,280
07-01-2022 4:30:00,3.35,3.02,12.37,0.04,11.99,100.73,68.6,,23.98,28.58,0,0,13.152,293.4,7.9,71.84,7.54,1.21,11.19,13.21,463.3,280
07-01-2022 4:35:00,3.35,3.02,12.39,0.08,11.98,92.63,68.31,,23.98,28.58,0,0,13.151,293.3,7.9,71.83,7.54,1.21,11.19,13.21,463.4,280
07-01-2022 4:40:00,3.35,3.02,12.37,0.07,11.99,100.49,70.17,,23.95,28.58,0,0,13.152,293.4,7.9,71.83,7.54,1.21,11.19,13.21,461.7,280
07-01-2022 4:45:00,3.35,3.02,12.42,0.07,11.98,96.39,69.43,,23.929,28.58,0,0,13.152,293.3,7.9,71.83,7.54,1.21,11.18,13.21,463.5,280
07-01-2022 4:50:00,3.35,3.02,12.37,0.07,12.01,93.65,66.6,,23.929,28.58,0,0,13.151,293.3,7.9,71.85,7.54,1.21,11.19,13.21,459.7,280
07-01-2022 4:55:00,3.35,3.02,12.4,0.09,11.99,98.68,72.07,,23.95,28.58,0,0,13.152,293.3,7.9,71.84,7.54,1.21,11.19,13.21,463.7,280
07-01-2022 5:00:00,3.35,3.02,12.41,0.08,12,95.07,71.68,,23.929,28.58,0,0,13.152,293.3,7.9,71.83,7.54,1.21,11.19,13.21,458.2,280
07-01-2022 5:05:00,3.35,3.02,12.4,0.07,12,98.83,67.68,,23.929,28.58,0,0,13.151,293.3,7.9,71.83,7.54,1.21,11.19,13.21,461.2,280
07-01-2022 5:10:00,3.35,3.02,12.37,0.08,11.98,97.41,69.78,,23.929,28.58,0,0,13.152,293.3,7.9,71.84,7.54,1.21,11.19,13.21,460.5,280
