Site,X2,X2,X2,X2,X2,X2,X2,X2,X2,X2,X2,X2,X2,X2,X2,X2,X2,X2,X2,X2,X2,X2,X2,X2,X2,X2,X2
Time UTC UTC+00:00,Processor Power,RTC Power,Primary Power,Secondary Power,Sensor Power,Total System Current,Sensor Current,Internal Pressure,Internal Temp,Internal Humidity,Cell Signal Strength,Cell Status,EXO Temp,EXO Sp Cond,EXO pH,EXO ODO Sat,EXO ODO,EXO Wiper Pos,EXO Cable Pwr,CTD2 Temp,CTD2 Level,CTD2 Sp Cond,CTD2 Salinity,C3 Rhodamine,C3 Fluorescein,C3 PTSA,C3 Temp
,V,V,V,V,V,mA,mA,mBar,C,%,dB,,C,uS/cm,,%,mg/L,V,V,C,mm,uS/cm,PPT,ppb,ppb,ppb,C
08-01-2023 0:00:00,3.4,3,12,0.1,12,264.8,235.1,,22.87,34.4,0,0,13.21,263,7.68,68.6,7.19,1.25,11.2,13.27,210.5,270,0.13,0.07,0,0,13.02
08-01-2023 0:15:00,3.4,3,12,0.1,12,265.3,233,,22.85,34.4,0,0,13.21,263,7.68,68.6,7.19,1.25,11.2,13.27,207.6,270,0.13,0.04,0.01,0,13.02
08-01-2023 0:30:00,3.4,3,12,0.1,12,265.3,232.9,,22.9,34.4,0,0,13.21,263,7.68,68.6,7.19,1.25,11.2,13.27,208.6,270,0.13,0.07,0.28,0,13.01
08-01-2023 0:45:00,3.4,3,12,0.1,12,266,232.7,,22.91,34.4,0,0,13.21,263,7.68,68.6,7.19,1.25,11.2,13.27,208.9,270,0.13,0.04,0.47,0,13.01
08-01-2023 1:00:00,3.4,3,12,0.1,12,265.2,235,,22.96,34.4,0,0,13.21,263,7.68,68.6,7.19,1.24,11.2,13.27,207.1,270,0.13,0.05,0.73,0,13.01
08-01-2023 1:15:00,3.4,3,12,0.1,12,266.3,234.7,,22.96,34.4,0,0,13.21,263,7.68,68.6,7.19,1.25,11.2,13.27,206.8,280,0.13,0.05,0.16,0,13.01
08-01-2023 1:30:00,3.4,3,12,0.1,12,262.8,233.2,,22.96,34.4,0,0,13.21,263,7.68,68.6,7.19,1.25,11.2,13.27,206.7,270,0.13,0.07,0.28,0,13.02
08-01-2023 1:45:00,3.4,3,12.1,0.1,12,265.2,233.1,,22.91,34.6,0,0,13.2,263,7.68,68.6,7.19,1.25,11.2,13.27,207.1,270,0.13,0.02,0.54,0,13.01
08-01-2023 2:00:00,3.4,3,12,0.1,12,265.1,232.1,,22.9,34.4,0,0,13.21,263,7.68,68.6,7.19,1.24,11.2,13.27,207.4,270,0.13,0.06,0.72,0,13.02
08-01-2023 2:15:00,3.4,3,12,0.1,12,265.8,234.9,,22.87,34.4,0,0,13.21,263,7.68,68.6,7.19,1.25,11.2,13.27,207.2,270,0.13,0.11,0.61,0,13.02
08-01-2023 2:30:00,3.4,3,12,0.1,12,266,235.5,,22.85,34.4,0,0,13.21,263,7.68,68.6,7.19,1.25,11.2,13.27,206.6,270,0.13,0.02,0,0,13.02
08-01-2023 2:45:00,3.4,3,12,0.1,12,264.2,236,,22.83,34.4,0,0,13.21,263,7.68,68.6,7.19,1.25,11.2,13.27,208,270,0.13,0.06,0,0,13.01
08-01-2023 3:00:00,3.4,3,12,0.1,12,264.2,233.3,,22.8,34.4,0,0,13.21,263,7.68,68.6,7.19,1.25,11.2,13.27,207.1,270,0.13,0.02,0,0,13.02
08-01-2023 3:15:00,3.4,3,12,0.1,12,265,233.2,,22.78,34.4,0,0,13.21,263,7.68,68.6,7.19,1.24,11.2,13.27,206.6,270,0.13,0.13,0,0,13.01
08-01-2023 3:30:00,3.4,3,12.1,0.1,12,264.8,231.9,,22.73,34.4,0,0,13.21,263,7.68,68.6,7.19,1.24,11.2,13.27,207.5,270,0.13,0.19,0.02,0,13.02
08-01-2023 3:45:00,3.4,3,12,0.1,12,264.8,233.1,,22.72,34.4,0,0,13.21,263,7.68,68.6,7.19,1.25,11.2,13.27,206.7,270,0.13,0.04,0.02,0,13.02
08-01-2023 4:00:00,3.4,3,12,0.1,12,266.5,234.3,,22.68,34.5,0,0,13.21,263,7.68,68.6,7.19,1.25,11.2,13.27,207.8,270,0.13,0.02,0.11,0,13.01
08-01-2023 4:15:00,3.4,3,12,0.1,12,264.6,234.1,,22.63,34.5,0,0,13.21,263,7.68,68.6,7.19,1.25,11.2,13.27,209.9,270,0.13,0.16,0.15,0,13.01
08-01-2023 4:30:00,3.4,3,12,0,12,264.5,234.4,,22.59,34.5,0,0,13.21,263,7.68,68.6,7.19,1.24,11.2,13.27,208.1,270,0.13,0.14,0,0,13.02
08-01-2023 4:45:00,3.4,3,12,0.1,12,265.8,235.1,,22.54,34.4,0,0,13.21,263,7.68,68.6,7.19,1.24,11.2,13.27,207.8,270,0.13,0.01,0,0,13.02
08-01-2023 5:00:00,3.4,3,12,0.1,12,264.7,235.3,,22.53,34.4,0,0,13.21,263,7.68,68.6,7.19,1.25,11.2,13.27,209.5,270,0.13,0.11,0,0,13.01
08-01-2023 5:15:00,3.4,3,12,0.1,12,265.4,233,,22.5,34.4,0,0,13.21,263,7.68,68.6,7.19,1.25,11.2,13.27,208.3,270,0.13,0.14,0,0,13.01
08-01-2023 5:30:00,3.4,3,12,0.1,12,265.9,235.4,,22.5,34.4,0,0,13.21,263,7.68,68.6,7.19,1.25,11.2,13.27,209.1,270,0.13,0.29,0,0,13.02
08-01-2023 5:45:00,3.4,3,12,0.1,12,265.8,233.2,,22.47,34.4,0,0,13.2,263,7.68,68.6,7.19,1.25,11.2,13.27,209.2,270,0.13,0.56,0,0,13.02
08-01-2023 6:00:00,3.4,3,12,0.1,12,262,234.1,,22.41,34.4,0,0,13.21,263,7.68,68.6,7.19,1.25,11.2,13.27,206.7,270,0.13,0.01,0,0,13.02
08-01-2023 6:15:00,3.4,3,12,0.1,12,261.1,233,,22.35,34.4,0,0,13.21,263,7.68,68.6,7.19,1.24,11.2,13.27,210.2,270,0.13,0.05,0,0,13.01
08-01-2023 6:30:00,3.4,3,12.1,0.1,12,266.2,235.7,,22.35,34.4,0,0,13.21,263,7.68,68.6,7.19,1.25,11.2,13.27,210,270,0.13,0.3,0.14,0,13.02
08-01-2023 6:45:00,3.4,3,12,0.1,12,262.9,233,,22.32,34.4,0,0,13.2,263,7.68,68.6,7.19,1.25,11.2,13.27,207.4,270,0.13,0.04,0.07,0,13.01
08-01-2023 7:00:00,3.4,3,12,0.1,12,263.5,232.4,,22.29,34.3,0,0,13.21,263,7.68,68.6,7.19,1.24,11.2,13.27,206.4,270,0.13,0.37,0.2,0,13.01
08-01-2023 7:15:00,3.4,3,12.1,0.1,12,263.2,234.3,,22.29,34.3,0,0,13.2,263,7.68,68.6,7.19,1.25,11.2,13.27,206.8,270,0.13,0.59,0.14,0,13.02
08-01-2023 7:30:00,3.4,3,12.1,0.1,12,264.2,232.9,,22.26,34.3,0,0,13.21,263,7.68,68.6,7.19,1.25,11.2,13.27,208.6,270,0.13,1.39,0.09,0,13.01
08-01-2023 7:45:00,3.4,3,12,0.1,12,264.8,234,,22.22,34.3,0,0,13.2,263,7.68,68.6,7.19,1.25,11.2,13.27,205.8,270,0.13,0.06,0.16,0,13.02
