Site,X2 Legacy,X2 Legacy,X2 Legacy,X2 Legacy,X2 Legacy,X2 Legacy,X2 Legacy,X2 Legacy,X2 Legacy,X2 Legacy,X2 Legacy,X2 Legacy,X2 Legacy,X2 Legacy,X2 Legacy,X2 Legacy,X2 Legacy,X2 Legacy,X2 Legacy,X2 Legacy,X2 Legacy,X2 Legacy
Time UTC UTC+00:00,Processor Power,RTC Power,Primary Power,Secondary Power,Sensor Power,Total System Current,Sensor Current,Internal Pressure,Internal Temperature,Internal Humidity,Signal Strength,Signal Status,EXO Temp,EXO Sp Cond,EXO pH,EXO ODOSat,EXO ODO,EXO Wiper Pos,EXO Cable Pwr,[2] CTD Temp,[2] CTD Level,[2] CTD Sp Cond
,V,V,V,V,V,mA,mA,mBar,C,%,dB,,C,uS/cm,,%,mg/L,V,V,C,mm,uS/cm
09-01-2022 0:00:00,3.35,3.02,12.41,0.08,12,95.31,65.77,,23.577,30.01,0,0,13.178,287,7.96,71.44,7.49,1.21,11.2,13.23,430.2,280
09-01-2022 0:05:00,3.35,3.02,12.36,0.05,12.01,100.68,72.75,,23.577,29.91,0,0,13.178,287,7.96,71.41,7.49,1.21,11.2,13.23,430.2,270
09-01-2022 0:10:00,3.35,3.02,12.38,0.07,11.99,97.46,71.63,,23.577,29.91,0,0,13.177,286.9,7.96,71.42,7.49,1.21,11.2,13.23,429.9,270
09-01-2022 0:15:00,3.35,3.02,12.38,0.08,11.98,98.88,70.17,,23.587,29.91,0,0,13.177,287,7.96,71.44,7.49,1.21,11.19,13.23,429.7,260
09-01-2022 0:20:00,3.35,3.02,12.4,0.06,11.98,99.71,71.24,,23.607,29.91,0,0,13.178,287,7.96,71.42,7.49,1.2,11.2,13.23,429.6,270
09-01-2022 0:25:00,3.35,3.02,12.35,0.05,11.99,96.73,69.14,,23.607,29.91,0,0,13.177,286.9,7.96,71.44,7.49,1.21,11.2,13.23,431.1,270
09-01-2022 0:30:00,3.35,3.02,12.36,0.11,11.99,99.51,70.02,,23.587,29.91,0,0,13.178,287,7.96,71.43,7.49,1.21,11.2,13.23,431.2,270
09-01-2022 0:35:00,3.35,3.02,12.41,0.09,11.99,97.61,71.19,,23.577,29.91,0,0,13.178,286.9,7.96,71.42,7.49,1.21,11.2,13.23,430.8,270
09-01-2022 0:40:00,3.35,3.02,12.37,0.09,11.99,99.17,68.41,,23.537,29.91,0,0,13.177,287,7.96,71.43,7.49,1.21,11.2,13.23,431.1,270
09-01-2022 0:45:00,3.35,3.02,12.39,0.07,11.99,95.12,70.51,,23.506,29.91,0,0,13.179,287,7.96,71.43,7.49,1.21,11.2,13.23,431.3,270
09-01-2022 0:50:00,3.35,3.02,12.39,0.05,11.98,94.82,80.62,,23.537,29.91,0,0,13.177,286.9,7.96,71.43,7.49,1.2,11.2,13.23,429.7,260
09-01-2022 0:55:00,3.35,3.02,12.37,0.07,11.98,96.29,67.53,,23.537,29.91,0,0,13.177,286.9,7.96,71.43,7.49,1.21,11.2,13.23,429.6,260
09-01-2022 1:00:00,3.35,3.02,12.41,0.06,11.98,97.8,69.48,,23.537,29.91,0,0,13.178,286.9,7.96,71.43,7.49,1.21,11.2,13.23,429.2,250
09-01-2022 1:05:00,3.35,3.02,12.4,0.09,11.99,94.34,69.53,,23.537,29.91,0,0,13.178,287,7.96,71.43,7.49,1.21,11.2,13.23,428.6,270
09-01-2022 1:10:00,3.35,3.02,12.4,0.09,12,95.46,69.09,,23.537,29.91,0,0,13.177,287,7.96,71.42,7.49,1.21,11.2,13.23,429.2,270
09-01-2022 1:15:00,3.35,3.02,12.39,0.07,11.99,99.17,69.82,,23.557,29.91,0,0,13.178,287,7.96,71.42,7.49,1.21,11.2,13.23,428.6,260
09-01-2022 1:20:00,3.35,3.02,12.4,0.06,11.98,99.8,80.42,,23.577,29.91,0,0,13.178,286.9,7.96,71.41,7.49,1.2,11.2,13.23,431,260
09-01-2022 1:25:00,3.35,3.02,12.38,0.09,11.99,98.34,70.8,,23.577,29.91,0,0,13.178,286.9,7.96,71.43,7.49,1.21,11.19,13.23,428.5,250
09-01-2022 1:30:00,3.35,3.02,12.37,0.09,11.98,98.68,79.15,,23.547,29.91,0,0,13.179,287,7.96,71.43,7.49,1.21,11.2,13.23,431.9,250
09-01-2022 1:35:00,3.35,3.03,12.36,0.06,12,99.17,77.2,,23.547,29.91,0,0,13.178,286.9,7.96,71.42,7.49,1.21,11.2,13.23,430.1,240
09-01-2022 1:40:00,3.35,3.02,12.39,0.09,11.99,96.73,77.25,,23.557,29.91,0,0,13.177,286.9,7.96,71.43,7.49,1.2,11.2,13.23,429.8,240
09-01-2022 1:45:00,3.35,3.02,12.37,0.06,11.98,101.37,71.63,,23.557,29.91,0,0,13.176,286.9,7.96,71.45,7.49,1.21,11.2,13.23,431.1,230
09-01-2022 1:50:00,3.35,3.02,12.38,0.08,11.98,96.97,68.95,,23.587,29.91,0,0,13.177,286.9,7.96,71.43,7.49,1.21,11.2,13.23,428.8,260
09-01-2022 1:55:00,3.35,3.02,12.38,0.07,11.99,99.12,70.41,,23.617,29.91,0,0,13.177,286.9,7.96,71.44,7.49,1.21,11.2,13.23,430.8,260
09-01-2022 2:00:00,3.35,3.02,12.39,0.07,11.99,99.71,72.46,,23.617,29.91,0,0,13.178,286.9,7.96,71.42,7.49,1.2,11.2,13.23,429.6,260
09-01-2022 2:05:00,3.35,3.02,12.38,0.09,11.99,99.56,68.12,,23.647,29.9,0,0,13.177,286.9,7.96,71.43,7.49,1.21,11.2,13.23,429.9,260
09-01-2022 2:10:00,3.35,3.02,12.36,0.07,11.98,99.07,77.78,,23.658,29.9,0,0,13.177,286.9,7.96,71.43,7.49,1.2,11.2,13.23,428.7,250
09-01-2022 2:15:00,3.35,3.02,12.39,0.06,12.01,98.78,71.58,,23.658,29.9,0,0,13.178,286.9,7.96,71.42,7.49,1.21,11.2,13.23,430.1,240
09-01-2022 2:20:00,3.35,3.02,12.37,0.08,11.98,100.59,73.39,,23.627,29.9,0,0,13.177,286.9,7.97,71.41,7.49,1.21,11.2,13.23,429.9,220
09-01-2022 2:25:00,3.35,3.02,12.39,0.09,11.98,100,70.46,,23.607,29.91,0,0,13.177,286.9,7.96,71.44,7.49,1.21,11.2,13.23,428.2,250
09-01-2022 2:30:00,3.35,3.02,12.37,0.05,11.99,109.13,84.72,,23.577,29.91,0,0,13.177,286.9,7.96,71.42,7.49,1.2,11.2,13.23,430.4,240
09-01-2022 2:35:00,3.35,3.02,12.37,0.11,11.98,98,71.34,,23.537,29.91,0,0,13.177,286.9,7.96,71.43,7.49,1.21,11.2,13.23,430.8,230
09-01-2022 2:40:00,3.35,3.02,12.38,0.07,11.98,98.54,71.09,,23.476,29.91,0,0,13.178,286.9,7.96,71.41,7.49,1.21,11.2,13.23,429.7,220
09-01-2022 2:45:00,3.35,3.02,12.34,0.09,11.99,98.88,70.26,,23.476,29.91,0,0,13.177,286.9,7.96,71.41,7.49,1.21,11.2,13.23,432.3,200
09-01-2022 2:50:00,3.35,3.02,12.35,0.08,11.98,100.44,70.9,,23.466,29.91,0,0,13.177,286.9,7.96,71.41,7.49,1.21,11.2,13.23,432.3,180
09-01-2022 2:55:00,3.35,3.02,12.37,0.07,12,99.51,73.97,,23.476,29.91,0,0,13.178,286.9,7.96,71.43,7.49,1.21,11.2,13.23,429.2,160
09-01-2022 3:00:00,3.35,3.02,12.36,0.08,11.98,98.39,71.09,,23.476,29.91,0,0,13.178,286.9,7.96,71.42,7.49,1.22,11.2,13.23,429.2,170
09-01-2022 3:05:00,3.35,3.02,12.43,0.06,11.99,97.71,68.41,,23.496,29.91,0,0,13.177,286.9,7.96,71.43,7.49,1.21,11.2,13.23,428.6,170
09-01-2022 3:10:00,3.35,3.02,12.39,0.07,11.99,98.58,70.41,,23.506,29.91,0,0,13.178,286.9,7.96,71.45,7.49,1.2,11.2,13.23,429.2,130
09-01-2022 3:15:00,3.35,3.02,12.39,0.07,11.98,97.02,70.31,,23.537,29.81,0,0,13.177,286.9,7.96,71.45,7.49,1.21,11.2,13.23,427.9,110
09-01-2022 3:20:00,3.35,3.02,12.37,0.1,11.97,98.19,71.97,,23.547,29.81,0,0,13.177,286.9,7.96,71.45,7.49,1.21,11.2,13.23,428.8,100
09-01-2022 3:25:00,3.35,3.02,12.39,0.08,11.97,101.32,73.19,,23.557,29.81,0,0,13.177,286.9,7.96,71.44,7.49,1.22,11.2,13.23,430.1,60
09-01-2022 3:30:00,3.35,3.02,12.4,0.08,11.98,98.05,69.73,,23.587,29.91,0,0,13.178,286.9,7.96,71.43,7.49,1.2,11.2,13.23,431.8,50
09-01-2022 3:35:00,3.35,3.02,12.36,0.08,11.97,99.71,79.79,,23.607,29.81,0,0,13.177,286.9,7.96,71.44,7.49,1.21,11.2,13.23,429,280
09-01-2022 3:40:00,3.35,3.02,12.36,0.09,11.99,96.88,71.88,,23.617,29.91,0,0,13.177,286.9,7.96,71.44,7.49,1.21,11.2,13.23,430.8,270
09-01-2022 3:45:00,3.35,3.02,12.39,0.08,11.98,98.05,71.04,,23.647,29.9,0,0,13.176,286.9,7.96,71.42,7.49,1.21,11.2,13.23,429,260
09-01-2022 3:50:00,3.35,3.02,12.39,0.08,12,100.2,83.11,,23.647,29.9,0,0,13.178,287,7.96,71.43,7.49,1.21,11.2,13.23,431.5,250
09-01-2022 3:55:00,3.35,3.02,12.38,0.06,12,97.12,67.38,,23.678,29.9,0,0,13.178,286.9,7.96,71.43,7.49,1.21,11.2,13.23,430,250
09-01-2022 4:00:00,3.35,3.02,12.41,0.1,11.99,99.07,71.14,,23.678,29.9,0,0,13.177,286.9,7.96,71.42,7.49,1.21,11.19,13.23,430.1,260
09-01-2022 4:05:00,3.35,3.02,12.37,0.08,11.98,114.7,88.72,,23.708,29.9,0,0,13.177,286.9,7.97,71.45,7.49,1.21,11.2,13.23,430.4,280
09-01-2022 4:10:00,3.35,3.02,12.4,0.09,11.99,98.39,70.7,,23.728,29.9,0,0,13.178,286.9,7.96,71.45,7.49,1.21,11.2,13.23,428.8,270
09-01-2022 4:15:00,3.35,3.02,12.38,0.08,11.99,100.54,81.2,,23.728,29.9,0,0,13.177,286.9,7.96,71.43,7.49,1.21,11.2,13.23,429.1,260
09-01-2022 4:20:00,3.35,3.02,12.39,0.05,11.99,97.85,72.27,,23.688,29.9,0,0,13.179,286.9,7.96,71.41,7.49,1.21,11.2,13.23,429.5,260
09-01-2022 4:25:00,3.35,3.02,12.36,0.07,11.99,99.95,76.42,,23.678,29.99,0,0,13.177,286.9,7.96,71.43,7.49,1.21,11.2,13.23,429.8,250
09-01-2022 4:30:00,3.35,3.02,12.39,0.09,11.98,100.93,71.63,,23.647,29.9,0,0,13.177,286.9,7.96,71.44,7.49,1.21,11.2,13.23,428.7,240
09-01-2022 4:35:00,3.35,3.02,12.39,0.1,12,97.27,68.6,,23.627,29.9,0,0,13.177,286.9,7.96,71.45,7.49,1.21,11.2,13.23,428.9,270
09-01-2022 4:40:00,3.35,3.02,12.34,0.08,12,98.88,69.09,,23.627,29.9,0,0,13.178,286.9,7.96,71.43,7.49,1.2,11.2,13.23,431.4,270
09-01-2022 4:45:00,3.35,3.02,12.4,0.07,12,96.14,72.9,,23.617,29.91,0,0,13.177,286.9,7.96,71.43,7.49,1.21,11.2,13.23,428.5,270
09-01-2022 4:50:00,3.35,3.02,12.37,0.07,11.98,99.56,70.12,,23.627,29.9,0,0,13.177,286.9,7.96,71.43,7.49,1.2,11.2,13.23,429.2,260
09-01-2022 4:55:00,3.35,3.02,12.37,0.08,11.98,99.51,70.12,,23.617,29.91,0,0,13.176,286.9,7.96,71.46,7.49,1.21,11.2,13.23,429.3,260
09-01-2022 5:00:00,3.35,3.02,12.39,0.05,11.99,99.32,78.27,,23.627,29.9,0,0,13.178,286.9,7.96,71.44,7.49,1.2,11.2,13.23,428,260
09-01-2022 5:05:00,3.35,3.02,12.38,0.08,12,99.51,69.38,,23.627,29.9,0,0,13.177,286.9,7.97,71.43,7.49,1.21,11.19,13.23,429.2,240
09-01-2022 5:10:00,3.35,3.02,12.39,0.07,11.97,99.9,80.47,,23.627,29.9,0,0,13.178,286.9,7.97,71.42,7.49,1.2,11.2,13.23,429.4,240
